Comment,Date,Eval_Annot_Dataset,Eval_Loss,Experiment_Name,Learning_Rate,Loss,Max_Seq_Length,Model,Num_Train_Epochs,Train_Annot_Dataset,User,accuracy,f1_macro,f1_micro,f1_negative,f1_neutral,f1_positive,f1_weighted,precision_macro,precision_micro,precision_negative,precision_neutral,precision_positive,precision_weighted,recall_macro,recall_micro,recall_negative,recall_neutral,recall_positive,recall_weighted
No Comment,2020-02-09 22:59:55.440332,cb-annot-en-es,0.53215003,zeroshot-cb-annot-en-cb-annot-es,2e-05,0.5873845,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.827,0.6359718594392405,0.827,0.2057142857142857,0.8940617577197149,0.808139534883721,0.8077231192935661,0.7890972944276653,0.827,0.72,0.8852304797742239,0.7620614035087719,0.8230778869799146,0.6277398440419858,0.827,0.12,0.9030710172744721,0.8601485148514851,0.827
No Comment,2020-02-09 23:03:22.414726,cb-annot-en-fr,0.49216166,zeroshot-cb-annot-en-cb-annot-fr,2e-05,0.47144493,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.841,0.6685713321107777,0.841,0.26865671641791045,0.9071253071253071,0.8299319727891157,0.8280540557504311,0.7415362290318884,0.841,0.5294117647058824,0.9295065458207452,0.7656903765690377,0.8333177048594407,0.6572457130549908,0.841,0.18,0.8857965451055663,0.905940594059406,0.841
No Comment,2020-02-09 23:06:44.565020,cb-annot-en,0.4851534,translate-cb-annot-en-cb-annot-en,2e-05,0.4553955,128,bert_model.ckpt,5,cb-annot-en,TPU2,0.864,0.7407586975622945,0.864,0.45045045045045046,0.9185989146521955,0.8532267275842376,0.8570774162616095,0.810591604518267,0.864,0.6944444444444444,0.9451776649746193,0.792152704135737,0.8645505892559477,0.7171041240400432,0.864,0.3333333333333333,0.8934740882917467,0.9245049504950495,0.864
No Comment,2020-02-09 23:06:50.755441,cb-annot-en-pt,0.5363284,zeroshot-cb-annot-en-cb-annot-pt,2e-05,0.55685055,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.8275,0.6234940270448238,0.8275,0.16184971098265896,0.8970873786407767,0.8115449915110358,0.8073854291660025,0.7546705135788715,0.8275,0.6086956521739131,0.9076620825147348,0.7476538060479666,0.8205962565465988,0.6224886029869782,0.8275,0.09333333333333334,0.8867562380038387,0.8873762376237624,0.8275
No Comment,2020-02-09 23:10:18.600710,cb-annot-en,0.47390345,translate-cb-annot-en-cb-annot-en,2e-05,0.4647253,128,bert_model.ckpt,3,cb-annot-en,TPU1,0.8515,0.6900897913162399,0.8515,0.31527093596059114,0.9140893470790377,0.8409090909090909,0.8396131427524959,0.7722543004117357,0.8515,0.6037735849056604,0.935678391959799,0.7773109243697479,0.8468050745243579,0.6742163352611653,0.8515,0.21333333333333335,0.8934740882917467,0.9158415841584159,0.8515
No Comment,2020-02-09 23:14:06.822452,cb-annot-en-de,0.6588157,translate-cb-annot-de-cb-annot-de,2e-05,0.6846197,128,bert_model.ckpt,5,cb-annot-en-de,TPU2,0.847,0.7342142034546413,0.847,0.4577464788732395,0.9149560117302052,0.8299401197604791,0.8463188764101635,0.7404299529151922,0.847,0.48507462686567165,0.9322709163346613,0.8039443155452436,0.8468872479055622,0.7297597178143919,0.847,0.43333333333333335,0.8982725527831094,0.8576732673267327,0.847
No Comment,2020-02-09 23:16:48.521726,cb-annot-en-de,0.49764177,translate-cb-annot-de-cb-annot-de,2e-05,0.5200441,128,bert_model.ckpt,3,cb-annot-en-de,TPU1,0.8465,0.7195153816994764,0.8465,0.4210526315789474,0.9104258443465492,0.8270676691729324,0.8400461506188378,0.7735952068199626,0.8465,0.6153846153846154,0.929070929070929,0.7763300760043431,0.8438371509055549,0.699138461830828,0.8465,0.32,0.8925143953934741,0.8849009900990099,0.8465
No Comment,2020-02-09 23:20:59.242495,cb-annot-en-es,0.58311266,translate-cb-annot-es-cb-annot-es,2e-05,0.6620798,128,bert_model.ckpt,5,cb-annot-en-es,TPU2,0.8485,0.7285048067903489,0.8485,0.4393939393939394,0.9126869271587071,0.8334335538184003,0.8451715902468656,0.7456180055700194,0.8485,0.5087719298245614,0.9175557710960233,0.8105263157894737,0.8436570830568175,0.7174031385864114,0.8485,0.38666666666666666,0.9078694817658349,0.8576732673267327,0.8485
No Comment,2020-02-09 23:23:40.749546,cb-annot-en-es,0.4441487,translate-cb-annot-es-cb-annot-es,2e-05,0.45454612,128,bert_model.ckpt,3,cb-annot-en-es,TPU1,0.857,0.7334649775643274,0.857,0.43902439024390244,0.9188926663428848,0.8424778761061947,0.8520309703798383,0.7658824550473592,0.857,0.5625,0.9301868239921337,0.8049605411499436,0.8520188939244789,0.7171776160341562,0.857,0.36,0.9078694817658349,0.8836633663366337,0.857
No Comment,2020-02-09 23:27:25.215279,cb-annot-en-fr,0.5583875,translate-cb-annot-fr-cb-annot-fr,2e-05,0.6457129,128,bert_model.ckpt,5,cb-annot-en-fr,TPU2,0.8445,0.6926923489079512,0.8445,0.3218390804597701,0.9146825396825395,0.8415554265815438,0.8406759265480296,0.7057800049350863,0.8445,0.3783783783783784,0.946611909650924,0.7923497267759563,0.8416724729239962,0.6873713599766887,0.8445,0.28,0.8848368522072937,0.8972772277227723,0.8445
