Comment,Date,Eval_Annot_Dataset,Eval_Loss,Experiment_Name,Learning_Rate,Loss,Max_Seq_Length,Model,Num_Train_Iterations,Train_Annot_Dataset,User,accuracy,f1_macro,f1_micro,f1_negative,f1_neutral,f1_positive,f1_weighted,precision_macro,precision_micro,precision_negative,precision_neutral,precision_positive,precision_weighted,recall_macro,recall_micro,recall_negative,recall_neutral,recall_positive,recall_weighted
No Comment,2020-02-10 15:16:03.483134,cb-annot-en,0.4762869,zeroshot-cb-annot-en-cb-annot-en,2e-05,0.45747423,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.835,0.577776193880541,0.835,0.0,0.9074262461851474,0.8259023354564756,0.8064336177868779,0.5628054308351707,0.835,0.0,0.9653679653679653,0.7230483271375465,0.7950682341202787,0.6063057841292766,0.835,0.0,0.8560460652591171,0.9628712871287128,0.835
No Comment,2020-02-10 15:19:14.683356,cb-annot-en-de,1.0951967,zeroshot-cb-annot-en-cb-annot-de,2e-05,1.1932694,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.659,0.42992119766702036,0.659,0.0,0.7653260445138618,0.5244375484871994,0.6106076387805506,0.4492879976750945,0.659,0.0,0.6451612903225806,0.7027027027027027,0.6200209241499565,0.4529386239967567,0.659,0.0,0.9404990403071017,0.4183168316831683,0.659
No Comment,2020-02-10 15:22:42.590846,cb-annot-en-es,0.5221581,zeroshot-cb-annot-en-cb-annot-es,2e-05,0.54042965,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.818,0.5665665665665666,0.818,0.0,0.8888888888888888,0.8108108108108109,0.7906786786786787,0.5557501743459997,0.818,0.0,0.9683257918552036,0.6989247311827957,0.7868633289544106,0.5956145518582568,0.818,0.0,0.8214971209213052,0.9653465346534653,0.818
No Comment,2020-02-10 15:26:10.522063,cb-annot-en-fr,0.50488955,zeroshot-cb-annot-en-cb-annot-fr,2e-05,0.49988535,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.824,0.5706696171560162,0.824,0.0,0.8943005181347151,0.8177083333333334,0.7962847366148533,0.5592606995484694,0.824,0.0,0.9718468468468469,0.7059352517985612,0.791530048933826,0.5999165415581865,0.824,0.0,0.8282149712092131,0.9715346534653465,0.824
No Comment,2020-02-10 15:29:38.557908,cb-annot-en-pt,0.512055,zeroshot-cb-annot-en-cb-annot-pt,2e-05,0.5352593,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.825,0.5706420734808395,0.825,0.0,0.8965169106511862,0.8154093097913323,0.7965106716049664,0.5546257624621216,0.825,0.0,0.9456869009584664,0.7181903864278982,0.782851791516232,0.5984255335322399,0.825,0.0,0.8522072936660269,0.943069306930693,0.825
No Comment,2020-02-10 15:33:06.730871,cb-annot-en,0.4762869,translate-cb-annot-en-cb-annot-en,2e-05,0.45747423,128,bert_model.ckpt,100,cb-annot-en,TPU1,0.835,0.577776193880541,0.835,0.0,0.9074262461851474,0.8259023354564756,0.8064336177868779,0.5628054308351707,0.835,0.0,0.9653679653679653,0.7230483271375465,0.7950682341202787,0.6063057841292766,0.835,0.0,0.8560460652591171,0.9628712871287128,0.835
No Comment,2020-02-10 15:38:37.760211,cb-annot-en-de,0.49100238,translate-cb-annot-de-cb-annot-de,2e-05,0.46869346,128,bert_model.ckpt,100,cb-annot-en-de,TPU1,0.825,0.5707779657976619,0.825,0.0,0.8970065956367326,0.8153273017562533,0.796732666236264,0.5555934130619118,0.825,0.0,0.9515608180839612,0.715219421101774,0.7847118323468606,0.5987961080177115,0.825,0.0,0.8483685220729367,0.948019801980198,0.825
No Comment,2020-02-10 15:43:55.598003,cb-annot-en-es,0.45549506,translate-cb-annot-es-cb-annot-es,2e-05,0.43028098,128,bert_model.ckpt,100,cb-annot-en-es,TPU1,0.831,0.5752406657669816,0.831,0.0,0.9025641025641027,0.8231578947368422,0.8027916869095818,0.5617600705706433,0.831,0.0,0.9691629955947136,0.7161172161172161,0.7942452760162012,0.6041171775526881,0.831,0.0,0.8445297504798465,0.9678217821782178,0.831
No Comment,2020-02-10 15:49:10.485745,cb-annot-en-fr,0.4967991,translate-cb-annot-fr-cb-annot-fr,2e-05,0.52644736,128,bert_model.ckpt,100,cb-annot-en-fr,TPU1,0.8285,0.5734577690201926,0.8285,0.0,0.8982097186700767,0.8221635883905013,0.8001213531368725,0.5594387250431853,0.8285,0.0,0.9616648411829135,0.7166513339466422,0.7905545211707413,0.6022397585247968,0.8285,0.0,0.8426103646833013,0.9641089108910891,0.8285
No Comment,2020-02-10 15:54:39.971698,cb-annot-en-pt,0.46119037,translate-cb-annot-pt-cb-annot-pt,2e-05,0.47081724,128,bert_model.ckpt,100,cb-annot-en-pt,TPU1,0.831,0.5749527452658186,0.831,0.0,0.902080162354135,0.822778073443321,0.802386106257606,0.5595661060740525,0.831,0.0,0.9569429494079655,0.7217553688141923,0.7901564456424838,0.603283384960377,0.831,0.0,0.8531669865642995,0.9566831683168316,0.831
